Date_Hour;Date;Seasons;Holiday;Functioning.Day
2017-12-01T00:00:00.000Z	2017-12-01	Winter	No Holiday	Yes
2017-12-02T00:00:00.000Z	2017-12-02	Winter	No Holiday	Yes
2017-12-03T00:00:00.000Z	2017-12-03	Winter	No Holiday	Yes
2017-12-04T00:00:00.000Z	2017-12-04	Winter	No Holiday	Yes
2017-12-05T00:00:00.000Z	2017-12-05	Winter	No Holiday	Yes
2017-12-06T00:00:00.000Z	2017-12-06	Winter	No Holiday	Yes
2017-12-07T00:00:00.000Z	2017-12-07	Winter	No Holiday	Yes
2017-12-08T00:00:00.000Z	2017-12-08	Winter	No Holiday	Yes
2017-12-09T00:00:00.000Z	2017-12-09	Winter	No Holiday	Yes
2017-12-10T00:00:00.000Z	2017-12-10	Winter		Yes
2017-12-11T00:00:00.000Z	2017-12-11	Winter	No Holiday	Yes
2017-12-12T00:00:00.000Z	2017-12-12	Winter	No Holiday	Yes
2017-12-13T00:00:00.000Z	2017-12-13	Winter	No Holiday	Yes
2017-12-14T00:00:00.000Z	2017-12-14	Winter	No Holiday	Yes
2017-12-15T00:00:00.000Z	2017-12-15	Winter	No Holiday	Yes
2017-12-16T00:00:00.000Z	2017-12-16	Winter	No Holiday	Yes
2017-12-17T00:00:00.000Z	2017-12-17	Winter	No Holiday	Yes
2017-12-18T00:00:00.000Z	2017-12-18	Winter	No Holiday	Yes
2017-12-19T00:00:00.000Z	2017-12-19	Winter	No Holiday	Yes
2017-12-20T00:00:00.000Z	2017-12-20	Winter	No Holiday	Yes
2017-12-21T00:00:00.000Z	2017-12-21	Winter	No Holiday	Yes
2017-12-22T00:00:00.000Z	2017-12-22	Winter	Holiday	Yes
2017-12-23T00:00:00.000Z	2017-12-23	Winter	No Holiday	Yes
2017-12-24T00:00:00.000Z	2017-12-24	Winter	Holiday	Yes
2017-12-25T00:00:00.000Z	2017-12-25	Winter	Holiday	Yes
2017-12-26T00:00:00.000Z	2017-12-26	Winter	No Holiday	Yes
2017-12-27T00:00:00.000Z	2017-12-27	Winter	No Holiday	Yes
2017-12-28T00:00:00.000Z	2017-12-28	Winter	No Holiday	Yes
2017-12-29T00:00:00.000Z	2017-12-29	Winter	No Holiday	Yes
2017-12-30T00:00:00.000Z	2017-12-30	Winter	No Holiday	Yes
2017-12-31T00:00:00.000Z	2017-12-31	Winter	Holiday	Yes
2018-01-01T00:00:00.000Z	2018-01-01	Winter	Holiday	Yes
2018-01-02T00:00:00.000Z	2018-01-02	Winter	No Holiday	Yes
2018-01-03T00:00:00.000Z	2018-01-03		No Holiday	Yes
2018-01-04T00:00:00.000Z	2018-01-04	Winter	No Holiday	Yes
2018-01-05T00:00:00.000Z	2018-01-05	Winter	No Holiday	Yes
2018-01-06T00:00:00.000Z	2018-01-06	Winter	No Holiday	Yes
2018-01-07T00:00:00.000Z	2018-01-07	Winter	No Holiday	Yes
2018-01-08T00:00:00.000Z	2018-01-08	Winter	No Holiday	Yes
2018-01-09T00:00:00.000Z	2018-01-09	Winter	No Holiday	Yes
2018-01-10T00:00:00.000Z	2018-01-10	Winter	No Holiday	Yes
2018-01-11T00:00:00.000Z	2018-01-11	Winter	No Holiday	Yes
2018-01-12T00:00:00.000Z	2018-01-12	Winter	No Holiday	Yes
2018-01-13T00:00:00.000Z	2018-01-13	Winter	No Holiday	Yes
2018-01-14T00:00:00.000Z	2018-01-14	Winter	No Holiday	Yes
2018-01-15T00:00:00.000Z	2018-01-15	Winter	No Holiday	Yes
2018-01-16T00:00:00.000Z	2018-01-16	Winter	No Holiday	Yes
2018-01-17T00:00:00.000Z	2018-01-17	Winter	No Holiday	Yes
2018-01-18T00:00:00.000Z	2018-01-18	Winter	No Holiday	Yes
2018-01-19T00:00:00.000Z	2018-01-19	Winter	No Holiday	Yes
2018-01-20T00:00:00.000Z	2018-01-20	Winter	No Holiday	Yes
2018-01-21T00:00:00.000Z	2018-01-21	Winter	No Holiday	Yes
2018-01-22T00:00:00.000Z	2018-01-22	Winter	No Holiday	Yes
2018-01-23T00:00:00.000Z	2018-01-23	Winter	No Holiday	Yes
2018-01-24T00:00:00.000Z	2018-01-24	Winter	No Holiday	Yes
2018-01-25T00:00:00.000Z	2018-01-25	Winter	No Holiday	Yes
2018-01-26T00:00:00.000Z	2018-01-26	Winter	No Holiday	Yes
2018-01-27T00:00:00.000Z	2018-01-27	Winter	No Holiday	Yes
2018-01-28T00:00:00.000Z	2018-01-28	Winter	No Holiday	Yes
2018-01-29T00:00:00.000Z	2018-01-29	Winter	No Holiday	Yes
2018-01-30T00:00:00.000Z	2018-01-30	Winter	No Holiday	Yes
2018-01-31T00:00:00.000Z	2018-01-31	Winter	No Holiday	Yes
2018-02-01T00:00:00.000Z	2018-02-01	Winter	No Holiday	Yes
2018-02-02T00:00:00.000Z	2018-02-02	Winter	No Holiday	Yes
2018-02-03T00:00:00.000Z	2018-02-03	Winter	No Holiday	Yes
2018-02-04T00:00:00.000Z	2018-02-04	Winter	No Holiday	Yes
2018-02-05T00:00:00.000Z	2018-02-05	Winter	No Holiday	Yes
2018-02-06T00:00:00.000Z	2018-02-06	Winter	No Holiday	Yes
2018-02-07T00:00:00.000Z	2018-02-07	Winter	No Holiday	Yes
2018-02-08T00:00:00.000Z	2018-02-08	Winter	No Holiday	Yes
2018-02-09T00:00:00.000Z	2018-02-09	Winter	No Holiday	Yes
2018-02-10T00:00:00.000Z	2018-02-10	Winter	No Holiday	Yes
2018-02-11T00:00:00.000Z	2018-02-11	Winter	No Holiday	Yes
2018-02-12T00:00:00.000Z	2018-02-12	Winter	No Holiday	Yes
2018-02-13T00:00:00.000Z	2018-02-13	Winter	No Holiday	Yes
2018-02-14T00:00:00.000Z	2018-02-14	Winter	No Holiday	Yes
2018-02-15T00:00:00.000Z	2018-02-15	Winter	Holiday	Yes
2018-02-16T00:00:00.000Z	2018-02-16	Winter	Holiday	Yes
2018-02-17T00:00:00.000Z	2018-02-17	Winter	Holiday	Yes
2018-02-18T00:00:00.000Z	2018-02-18	Winter	No Holiday	Yes
2018-02-19T00:00:00.000Z	2018-02-19	Winter	No Holiday	Yes
2018-02-20T00:00:00.000Z	2018-02-20	Winter	No Holiday	Yes
2018-02-21T00:00:00.000Z	2018-02-21	Winter	No Holiday	Yes
2018-02-22T00:00:00.000Z	2018-02-22	Winter	No Holiday	Yes
2018-02-23T00:00:00.000Z	2018-02-23	Winter	No Holiday	Yes
2018-02-24T00:00:00.000Z	2018-02-24	Winter	No Holiday	Yes
2018-02-25T00:00:00.000Z	2018-02-25	Winter	No Holiday	Yes
2018-02-26T00:00:00.000Z	2018-02-26	Winter	No Holiday	Yes
2018-02-27T00:00:00.000Z	2018-02-27	Winter	No Holiday	Yes
2018-02-28T00:00:00.000Z	2018-02-28	Winter	No Holiday	Yes
2018-03-01T00:00:00.000Z	2018-03-01	Spring	Holiday	Yes
2018-03-02T00:00:00.000Z	2018-03-02	Spring	No Holiday	Yes
2018-03-03T00:00:00.000Z	2018-03-03	Spring	No Holiday	Yes
2018-03-04T00:00:00.000Z	2018-03-04	Spring	No Holiday	Yes
2018-03-05T00:00:00.000Z	2018-03-05	Spring	No Holiday	Yes
2018-03-06T00:00:00.000Z	2018-03-06	Spring	No Holiday	Yes
2018-03-07T00:00:00.000Z	2018-03-07	Spring	No Holiday	Yes
2018-03-08T00:00:00.000Z	2018-03-08	Spring	No Holiday	Yes
2018-03-09T00:00:00.000Z	2018-03-09	Spring	No Holiday	Yes
2018-03-10T00:00:00.000Z	2018-03-10	Spring	No Holiday	Yes
2018-03-11T00:00:00.000Z	2018-03-11	Spring	No Holiday	Yes
2018-03-12T00:00:00.000Z	2018-03-12	Spring	No Holiday	Yes
2018-03-13T00:00:00.000Z	2018-03-13	Spring	No Holiday	Yes
2018-03-14T00:00:00.000Z	2018-03-14	Spring	No Holiday	Yes
2018-03-15T00:00:00.000Z	2018-03-15	Spring	No Holiday	Yes
2018-03-16T00:00:00.000Z	2018-03-16	Spring	No Holiday	Yes
2018-03-17T00:00:00.000Z	2018-03-17	Spring	No Holiday	Yes
2018-03-18T00:00:00.000Z	2018-03-18	Spring	No Holiday	Yes
2018-03-19T00:00:00.000Z	2018-03-19	Spring	No Holiday	Yes
2018-03-20T00:00:00.000Z	2018-03-20	Spring	No Holiday	Yes
2018-03-21T00:00:00.000Z	2018-03-21	Spring	No Holiday	Yes
2018-03-22T00:00:00.000Z	2018-03-22	Spring	No Holiday	Yes
2018-03-23T00:00:00.000Z	2018-03-23	Spring	No Holiday	Yes
2018-03-24T00:00:00.000Z	2018-03-24	Spring	No Holiday	Yes
2018-03-25T00:00:00.000Z	2018-03-25	Spring	No Holiday	Yes
2018-03-26T00:00:00.000Z	2018-03-26	Spring		Yes
2018-03-27T00:00:00.000Z	2018-03-27	Spring	No Holiday	Yes
